hwm_id,stateName,countyName,height_above_gnd,elev_ft,hwm_environment,latitude,longitude
33861,NC,Moore County,4.82,283.14,Riverine,35.2636,-79.35898
34175,NC,Stanly County,2.09,261.8,Riverine,35.16685,-80.21086
33863,NC,Scotland County,3.75,260.42,Riverine,35.02268,-79.44272
33865,NC,Scotland County,4.65,229.11,Riverine,34.88425,-79.4518
33721,NC,Scotland County,0.28,212.42,Riverine,34.77937,-79.46189
34173,NC,Anson County,5.23,206.61,Riverine,35.08265,-79.99938
34114,NC,Richmond County,4.34,199.83,Riverine,35.11139,-79.90636
33755,NC,Scotland County,2.3,197.43,Riverine,34.770414,-79.447674
33720,NC,Scotland County,2.03,193.88,Riverine,34.81744,-79.42359
33837,NC,Scotland County,2.1,193.08,Riverine,34.7522241,-79.5162699
33939,NC,Robeson County,0.4,189.93,Riverine,34.74724,-79.21343
33707,NC,Scotland County,4.4,189.42,Riverine,34.772862,-79.3337624
33744,NC,Scotland County,4.69,188.56,Riverine,34.7716295,-79.3344678
33696,NC,Robeson County,5.25,187.13,Riverine,34.76581,-79.33315
33833,NC,Scotland County,2,186.22,Riverine,34.7821111,-79.527557
33576,SC,Chesterfield County,0,184.16,Riverine,34.703,-79.947
33695,NC,Robeson County,1.39,181.1,Riverine,34.82076,-79.17916
33697,NC,Robeson County,1.44,174.54,Riverine,34.71847,-79.30569
33533,NC,Cumberland County,3.45,168.06,Riverine,35.1861926,-79.0157895
33752,SC,Lee County,3.51,166.65,Riverine,34.2238095,-80.2166715
33751,SC,Lee County,1.61,166.61,Riverine,34.2238095,-80.2166715
33753,SC,Lee County,1.6,166.59,Riverine,34.2238095,-80.2166715
33610,SC,Darlington County,0.35,165.25,Riverine,34.38547,-80.06412
33726,NC,Robeson County,1.31,165.24,Riverine,34.69441,-79.25693
33608,SC,Darlington County,2.15,165.22,Riverine,34.38851,-80.06368
33603,SC,Darlington County,3,164.34,Riverine,34.386,-80.063
33531,NC,Cumberland County,8.9,161.24,Riverine,35.193238,-78.987375
33724,NC,Robeson County,2.6,161.01,Riverine,34.67929,-79.23817
33510,NC,Cumberland County,1,160.86,Riverine,35.1940704,-78.9853602
33754,SC,Lee County,2.84,160.19,Riverine,34.1953021,-80.1827056
33522,NC,Cumberland County,1.33,160.14,Riverine,35.1971703,-78.9888122
33931,NC,Robeson County,3.82,157.24,Riverine,34.6813,-79.11787
33508,NC,Cumberland County,5.38,155.21,Riverine,35.1998591,-78.9602956
33572,SC,Chesterfield County,1,154,Riverine,34.695,-79.904
34149,NC,Duplin County,0,153.99,Riverine,34.996061,-78.10872
33606,SC,Darlington County,2.9,153.9,Riverine,34.392,-80.03
33728,NC,Robeson County,0.96,153.62,Riverine,34.659906,-79.210949
33803,NC,Richmond County,3.87,150.62,Riverine,34.97974,-79.85744
33932,NC,Robeson County,0.33,148.15,Riverine,34.66908,-79.12067
34150,NC,Duplin County,1.9,142.78,Riverine,35.002861,-78.087788
33761,NC,Robeson County,0.96,142.04,Riverine,34.62719,-79.16663
34163,NC,Cumberland County,2.95,141.01,Riverine,35.034333,-78.974837
33505,NC,Cumberland County,8.06,139.3,Riverine,35.216282,-78.935229
33869,NC,Robeson County,1.25,135.34,Riverine,34.63115,-79.00777
33930,NC,Robeson County,3.75,135.27,Riverine,34.69676,-79.08585
33991,NC,Johnston County,5,132.75,Riverine,35.32964,-78.418311
33867,NC,Robeson County,0,132.16,Riverine,34.632545,-78.997332
33878,NC,Duplin County,0,131.89,Riverine,35.151398,-78.146029
33981,NC,Johnston County,3,129.81,Riverine,35.361503,-78.392997
33732,NC,Robeson County,3.69,129.62,Riverine,34.60697,-79.09983
33985,NC,Johnston County,5,129.42,Riverine,35.343599,-78.419992
33883,NC,Sampson County,4.5,127.84,Riverine,35.16896,-78.180599
33760,NC,Robeson County,3.58,127.1,Riverine,34.62176,-79.08915
33934,NC,Robeson County,5.38,126.85,Riverine,34.655554,-79.071089
33756,NC,Robeson County,1.19,126.57,Riverine,34.613544,-79.074945
33796,NC,Robeson County,2.58,126.57,Riverine,34.64216,-79.00588
33797,NC,Robeson County,2.87,126.47,Riverine,34.65506,-79.00233
33933,NC,Robeson County,4.69,126.39,Riverine,34.62632,-79.07327
33955,NC,Wayne County,9,126.13,Riverine,35.194233,-77.899078
33782,NC,Robeson County,3.15,126.12,Riverine,34.647621,-79.012246
33757,NC,Robeson County,5.28,126,Riverine,34.62057,-79.06226
33759,NC,Robeson County,3.16,125.73,Riverine,34.63266,-79.05537
33758,NC,Robeson County,5.45,125.67,Riverine,34.62755,-79.05866
33548,NC,Harnett County,2.1,125.5,Riverine,35.406473,-78.814966
33799,NC,Robeson County,4.15,125.35,Riverine,34.65608,-79.01202
33862,NC,Duplin County,1.1,125.18,Riverine,35.12307,-78.152134
33731,NC,Robeson County,0.58,122.37,Riverine,34.62148,-79.05506
33729,NC,Robeson County,2.24,120.77,Riverine,34.62417,-79.0457
33999,NC,Johnston County,6.5,120.29,Riverine,35.30178,-78.35993
33762,NC,Robeson County,2.32,119.52,Riverine,34.62,-79.04447
34090,NC,Robeson County,1.72,119.49,Riverine,34.62509,-79.03866
33813,NC,Robeson County,1.83,118.71,Riverine,34.61713,-79.00954
33956,NC,Wayne County,6.5,118.12,Riverine,35.19062,-77.870766
33588,NC,Johnston County,4.4,117.78,Riverine,35.515411,-78.348437
33996,NC,Johnston County,2.5,117.7,Riverine,35.33436,-78.396627
33584,NC,Johnston County,2.3,117.38,Riverine,35.5122467,-78.3501356
33854,NC,Robeson County,1.08,116.56,Riverine,34.60845,-79.03267
33763,NC,Robeson County,1.08,116.02,Riverine,34.62828,-79.02746
33975,NC,Johnston County,5,116.01,Riverine,35.380436,-78.401486
33764,NC,Robeson County,1.46,115.8,Riverine,34.62132,-79.01479
33853,NC,Robeson County,1.77,115.76,Riverine,34.603365,-79.026058
33855,NC,Robeson County,1.51,115.68,Riverine,34.59103,-79.0298
33850,NC,Robeson County,1.89,115.65,Riverine,34.60975,-79.01871
33765,NC,Robeson County,1.14,115.61,Riverine,34.6144,-79.01585
33817,NC,Robeson County,2.26,115.48,Riverine,34.61025,-79.00188
33847,NC,Robeson County,2.6,115.12,Riverine,34.60034,-79.0091
33810,NC,Robeson County,2.25,114.28,Riverine,34.60551,-78.99339
34043,NC,Wayne County,5,114.05,Riverine,35.1841,-77.9371
33974,NC,Johnston County,5,113.25,Riverine,35.404744,-78.384474
33831,NC,Robeson County,2.45,112.89,Riverine,34.58646,-79.00543
33928,NC,Wayne County,9,112.74,Riverine,35.25412,-78.11378
33914,NC,Duplin County,7,112.39,Riverine,35.048281,-78.029825
34017,NC,Johnston County,7,112.36,Riverine,35.338807,-78.363364
33822,NC,Robeson County,2.78,111.57,Riverine,34.591678,-78.984034
33827,NC,Robeson County,3.18,111.2,Riverine,34.58023,-78.99583
33972,NC,Johnston County,2.5,110.86,Riverine,35.400594,-78.374261
33567,SC,Chesterfield County,1.8,109.9,Riverine,34.705,-79.896
33971,NC,Johnston County,5,108.96,Riverine,35.406818,-78.368354
33578,SC,Chesterfield County,1.69,108.79,Riverine,34.70434,-79.89574
33901,NC,Duplin County,4.5,108.75,Riverine,35.08343,-78.090023
33957,NC,Wayne County,7.5,108.29,Riverine,35.184431,-77.872024
33667,SC,Dillon County,7.72,107.05,Riverine,34.474167,-79.378889
33570,SC,Chesterfield County,2.73,105.24,Riverine,34.70613,-79.89565
33646,SC,Dillon County,0.66,105.15,Riverine,34.48783,-79.39414
33601,NC,Wayne County,0.25,105.05,Riverine,35.32172,-77.83219
33575,SC,Chesterfield County,2.75,104.98,Riverine,34.70784,-79.89471
33550,NC,Harnett County,1.36,104.96,Riverine,35.314178,-78.692012
33552,NC,Harnett County,2.2,104.94,Riverine,35.3111989,-78.6944146
33561,SC,Marlboro County,1.65,103.51,Riverine,34.716,-79.864
33562,SC,Marlboro County,1.1,103.51,Riverine,34.716,-79.864
33565,SC,Marlboro County,1.55,103.4,Riverine,34.722,-79.861
33897,NC,Duplin County,5,103.13,Riverine,35.122543,-78.093153
33566,SC,Chesterfield County,3.05,103.04,Riverine,34.70899,-79.90012
33574,SC,Chesterfield County,1.81,103.01,Riverine,34.70872,-79.89529
33573,NC,Wayne County,0.25,102.27,Riverine,35.322181,-77.833649
34077,NC,Sampson County,2.72,102.02,Riverine,34.998048,-78.643247
34075,NC,Sampson County,1.2,101.01,Riverine,34.99623,-78.643012
33926,NC,Robeson County,1.86,100.76,Riverine,34.58229,-78.87364
33544,NC,Lenoir County,0.5,100.26,Riverine,35.312007,-77.798608
33959,NC,Wayne County,3,100.22,Riverine,35.16883,-77.871664
33718,SC,Chesterfield County,3.19,99.56,Riverine,34.649,-79.886
33556,NC,Lenoir County,0.5,99.55,Riverine,35.3122,-77.79973
33536,NC,Cumberland County,2.53,99.05,Riverine,35.0661463,-78.8911244
33960,NC,Duplin County,10,98.17,Riverine,35.152582,-77.851238
33506,NC,Cumberland County,4.49,97.84,Riverine,34.9695662,-78.9353504
33800,SC,Florence County,0.76,97.76,Riverine,33.9829398,-79.891924
34014,NC,Johnston County,8,97.76,Riverine,35.350858,-78.303388
34005,NC,Johnston County,6,97.4,Riverine,35.36848,-78.307603
34124,NC,Cumberland County,1.46,97.21,Riverine,35.021828,-78.805621
33795,SC,Florence County,0.64,97.2,Riverine,33.9829398,-79.891924
33546,NC,Cumberland County,3.27,95.9,Riverine,35.063175,-78.888732
33585,SC,Darlington County,4.28,95.45,Riverine,34.3,-79.83556
33514,NC,Cumberland County,1.62,93.53,Riverine,34.9608799,-78.9419533
33665,SC,Dillon County,2.4,93.26,Riverine,34.40472,-79.33444
33535,NC,Wayne County,1.46,93.24,Riverine,35.40067,-77.9575
33579,NC,Lenoir County,1,92.81,Riverine,35.299021,-77.7964
